Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
378156750 ,5355.23 ,7.65 ,113.93 ,56.38 , 
378223930 ,5365.45 ,4.43 ,48.83 ,48.83 , 
378291070 ,5362.25 ,12.76 ,130.21 ,56.38 , 
378358314 ,5366.73 ,3.33 ,81.38 ,56.38 , 
378425434 ,5364.17 ,7.75 ,113.93 ,74.59 , 
378492612 ,5362.89 ,11.66 ,32.55 ,28.19 , 
378559764 ,5360.97 ,5.07 ,113.93 ,28.19 , 
378626928 ,5360.97 ,11.65 ,65.10 ,28.19 , 
378694114 ,5357.78 ,10.54 ,113.93 ,74.59 , 
378761326 ,5349.50 ,11.60 ,130.21 ,101.64 , 
378828514 ,5365.45 ,7.27 ,113.93 ,28.19 , 
378895624 ,5368.01 ,4.44 ,162.76 ,203.29 , 
378962806 ,5356.51 ,12.74 ,162.76 ,156.96 , 
379030010 ,5355.23 ,11.63 ,162.76 ,28.19 , 
379097134 ,5356.51 ,6.72 ,65.10 ,28.19 , 
379164268 ,5359.69 ,8.85 ,146.48 ,84.57 , 
379231478 ,5347.59 ,0.00 ,130.21 ,28.19 , 
379298522 ,5366.73 ,5.08 ,162.76 ,156.96 , 
379365838 ,5349.50 ,7.63 ,65.10 ,28.19 , 
379432956 ,5349.50 ,1.91 ,97.66 ,48.83 , 
379500096 ,5357.14 ,11.64 ,146.48 ,129.19 , 
379567378 ,5353.32 ,8.33 ,113.93 ,74.59 , 
379634498 ,5365.45 ,7.27 ,260.42 ,149.17 , 
379701702 ,5362.89 ,0.00 ,48.83 ,84.57 , 
379768704 ,5352.05 ,4.81 ,97.66 ,0.00 , 
379835798 ,5353.96 ,9.43 ,292.97 ,223.76 , 
379903188 ,5361.61 ,3.99 ,130.21 ,74.59 , 
379970352 ,5355.87 ,12.73 ,195.31 ,48.83 , 
380037534 ,5363.53 ,5.86 ,130.21 ,28.19 , 
380104720 ,5359.06 ,10.13 ,162.76 ,101.64 , 
380171946 ,5349.50 ,0.00 ,130.21 ,56.38 , 
380238928 ,5366.09 ,4.00 ,211.59 ,101.64 , 
380306242 ,5363.53 ,7.75 ,113.93 ,56.38 , 
380373398 ,5355.23 ,13.25 ,97.66 ,48.83 , 
380440564 ,5343.78 ,1.90 ,211.59 ,149.17 , 
380507794 ,5353.96 ,9.43 ,97.66 ,84.57 , 
380574892 ,5351.41 ,5.05 ,97.66 ,48.83 , 
380642048 ,5362.89 ,0.00 ,179.04 ,225.53 , 
